
Status for Glycine max (glyma) as of 2026-04-21:

Count | PMID | DOI | Citation; Summary for glyma
   1 | glyma.Wm82.gnm2.ann1.Glyma.07G048500
   1 | glyma.Wm82.gnm2.ann1.Glyma.07G011600
   1 | glyma.Wm82.gnm2.ann1.Glyma.06G284100
   1 | glyma.Wm82.gnm2.ann1.Glyma.06G196200
   1 | glyma.Wm82.gnm2.ann1.Glyma.06G119100
   1 | glyma.Wm82.gnm2.ann1.Glyma.05G131200
   1 | glyma.Wm82.gnm2.ann1.Glyma.05G128200
   1 | glyma.Wm82.gnm2.ann1.Glyma.05G031100
   1 | glyma.Wm82.gnm2.ann1.Glyma.05G012300
   1 | glyma.Wm82.gnm2.ann1.Glyma.04G156400
   1 | glyma.Wm82.gnm2.ann1.Glyma.04G143300
   1 | glyma.Wm82.gnm2.ann1.Glyma.04G050200
   1 | glyma.Wm82.gnm2.ann1.Glyma.03G261800
   1 | glyma.Wm82.gnm2.ann1.Glyma.03G224300
   1 | glyma.Wm82.gnm2.ann1.Glyma.03G209400
   1 | glyma.Wm82.gnm2.ann1.Glyma.03G106900
   1 | glyma.Wm82.gnm2.ann1.Glyma.02G303800
   1 | glyma.Wm82.gnm2.ann1.Glyma.02G270800
   1 | glyma.Wm82.gnm2.ann1.Glyma.02G152800
   1 | glyma.Wm82.gnm2.ann1.Glyma.02G108500
   1 | glyma.Wm82.gnm2.ann1.Glyma.02G076900
   1 | glyma.Wm82.gnm2.ann1.Glyma.01G215100
   1 | glyma.Wm82.gnm2.ann1.Glyma.01G178000
   1 | glyma.Wm82.gnm2.ann1.Glyma.01G156000
   1 | glyma.Wm82.gnm2.ann1.Glyma.01G009600
   1 | glyma.Wm82.gnm2.ann1.Glyma.01G008600
   1 | glyma.Wm82.gnm1.ann1.Glyma19g45030
   1 | glyma.Wm82.gnm1.ann1.Glyma18g36130
   1 | glyma.Wm82.gnm1.ann1.Glyma18g06950
   1 | glyma.Wm82.gnm1.ann1.Glyma18g06840
   1 | glyma.Wm82.gnm1.ann1.Glyma18g02060
   1 | glyma.Wm82.gnm1.ann1.Glyma17g35650
   1 | glyma.Wm82.gnm1.ann1.Glyma17g06120
   1 | glyma.Wm82.gnm1.ann1.Glyma17g05200
   1 | glyma.Wm82.gnm1.ann1.Glyma14g37440
   1 | glyma.Wm82.gnm1.ann1.Glyma14g37350
   1 | glyma.Wm82.gnm1.ann1.Glyma14g27990
   1 | glyma.Wm82.gnm1.ann1.Glyma14g09510
   1 | glyma.Wm82.gnm1.ann1.Glyma14g07880
   1 | glyma.Wm82.gnm1.ann1.Glyma13g17290
   1 | glyma.Wm82.gnm1.ann1.Glyma13g16560
   1 | glyma.Wm82.gnm1.ann1.Glyma12G33660
   1 | glyma.Wm82.gnm1.ann1.Glyma12g07861
   1 | glyma.Wm82.gnm1.ann1.Glyma11g38130
   1 | glyma.Wm82.gnm1.ann1.Glyma11g27720
   1 | glyma.Wm82.gnm1.ann1.Glyma11g27480
   1 | glyma.Wm82.gnm1.ann1.Glyma11g15580
   1 | glyma.Wm82.gnm1.ann1.Glyma11g02980
   1 | glyma.Wm82.gnm1.ann1.Glyma10G38970
   1 | glyma.Wm82.gnm1.ann1.Glyma10G33030
   1 | glyma.Wm82.gnm1.ann1.Glyma09g36983
   1 | glyma.Wm82.gnm1.ann1.Glyma09g07520
   1 | glyma.Wm82.gnm1.ann1.Glyma08g21410
   1 | glyma.Wm82.gnm1.ann1.Glyma08g20030
   1 | glyma.Wm82.gnm1.ann1.Glyma08g00420
   1 | glyma.Wm82.gnm1.ann1.Glyma06g23560
   1 | glyma.Wm82.gnm1.ann1.Glyma06g19920
   1 | glyma.Wm82.gnm1.ann1.Glyma06g19820
   1 | glyma.Wm82.gnm1.ann1.Glyma06g04590
   1 | glyma.Wm82.gnm1.ann1.Glyma06G01240
   1 | glyma.Wm82.gnm1.ann1.Glyma05g01770
   1 | glyma.Wm82.gnm1.ann1.Glyma04g34800
   1 | glyma.Wm82.gnm1.ann1.Glyma04g04470
   1 | glyma.Wm82.gnm1.ann1.Glyma02g39230
   1 | glyma.Wm82.gnm1.ann1.Glyma02g18610
   1 | glyma.Wm82.gnm1.ann1.Glyma01g42390
   1 | glyma.Wm82.gnm1.ann1.Glyma01g37810
   1 | glyma.Wm82.gnm1.ann1.Glyma01g36010
  --------------------------------------------------

Count | Ontology accession | Description; Summary for glyma
  --------------------------------------------------
  33 | TO:0000469 | days to maturity
  32 | GO:0009877 | nodulation
  30 | TO:0002616 | flowering time
  24 | GO:0043903 | regulation of biological process involved in symbiotic interaction
  16 | TO:0000490 | seed protein content
  14 | TO:0000604 | fat and essential oil content
  12 | GO:0048316 | seed development
  11 | TO:0000207 | plant height
  10 | TO:0002616 | Flowering time trait
  10 | TO:0000934 | photoperiod-sensitive flowering time trait
  10 | GO:0010866 | regulation of triglyceride biosynthetic process
   8 | GO:0048364 | root development
   8 | GO:0006629 | lipid metabolic process
   7 | TO:0000181 | seed weight
   6 | TO:0006001 | salt tolerance
   6 | TO:0001111 | Heterodera glycines response
   6 | GO:0038198 | auxin receptor activity
   6 | GO:0008152 | metabolic process
   6 | GO:0006529 | asparagine biosynthetic process
   6 | GO:0004066 | asparagine synthase (glutamine-hydrolyzing) activity
   5 | TO:0000756 | stem internode morphology trait
   5 | PO:0003023 | root nodule
   5 | GO:0044403 | biological process involved in symbiotic interaction
   5 | GO:0010344 | seed oilbody biogenesis
   5 | GO:0009717 | isoflavonoid biosynthetic process
   4 | TO:0002616 | flowering time trait
   4 | TO:0000927 | plant organ growth and development trait
   4 | TO:0000598 | protein content
   4 | TO:0000328 | sucrose content
   4 | TO:0000168 | abiotic plant stress trait
   4 | TO:0000164 | plant stress trait
   4 | GO:1901333 | positive regulation of lateral root development
   4 | GO:0080113 | regulation of seed growth
   4 | GO:0016787 | hydrolase activity
   3 | TO:0020020 | stem branch number
   3 | TO:0012002 | leaf chlorophyll content
   3 | TO:0005005 | alpha-linolenic acid content
   3 | TO:0005004 | omega-3 fatty acid content
   3 | TO:0001170 | fatty acid content trait
   3 | TO:0001125 | pod number trait
   3 | TO:0000898 | root nodule morphology trait
   3 | TO:0000699 | sucrose synthase activity trait
   3 | TO:0000276 | drought tolerance
   3 | TO:0000179 | biotic plant stress trait
   3 | TO:0000153 | relative yield
   3 | GO:1902185 | positive regulation of shoot apical meristem development
   3 | GO:0055114 | oxidation-reduction process
   3 | GO:0048578 | positive regulation of long-day photoperiodism, flowering
   3 | GO:0048576 | positive regulation of short-day photoperiodism, flowering
   3 | GO:0044550 | secondary metabolite biosynthetic process
   3 | GO:0042742 | defense response to bacterium
   3 | GO:0042389 | omega-3 fatty acid desaturase
   3 | GO:0016301 | kinase activity
   3 | GO:0016192 | vesicle-mediated transport
   3 | GO:0009686 | gibberellin biosynthetic process
   3 | GO:0009399 | nitrogen fixation
   3 | GO:0005315 | inorganic phosphate transmembrane transporter activity
   3 | GO:0002215 | defense response to nematode
   2 | TO:0020102 | phosphate content
   2 | TO:0002616 | Flowering Time trait
   2 | TO:0001144 | Oomycete disease response
   2 | TO:0001024 | phosphorus content
   2 | TO:0000696 | starch content
   2 | TO:0000634 | stem node number
   2 | TO:0000494 | plant pigment content trait
   2 | TO:0000432 | temperature response trait
   2 | TO:0000429 | salt response
   2 | TO:0000384 | nematode damage response trait
   2 | TO:0000333 | sugar content
   2 | TO:0000316 | photosynthetic ability
   2 | TO:0000315 | bacterial disease resistance
   2 | TO:0000261 | insect damage resistance
   2 | TO:0000190 | Seed coat color
   2 | TO:0000112 | microbial disease response
   2 | GO:1903647 | negative regulation of chlorophyll catabolic process
   2 | GO:0048572 | short-day photoperiodism
   2 | GO:004857 | positive regulation of long-day photoperiodism, flowering
   2 | GO:0048437 | floral organ development
   2 | GO:0046289 | isoflavonoid phytoalexin metabolic process
   2 | GO:0045487 | gibberellin catabolic process
   2 | GO:0035618 | root hair
   2 | GO:0033817 | beta-ketoacyl-acyl-carrier-protein synthase II activity
   2 | GO:0016851 | magnesium chelatase activity
   2 | GO:0009785 | blue light signaling pathway
   2 | GO:0006633 | fatty acid biosynthetic process
   2 | GO:0004672 | protein kinase activity
   2 | GO:0004659 | prenyltransferase activity
   2 | GO:0003700 | DNA-binding transcription factor activity
   2 | ENVO:01000171 | indeterminate root nodule nitrogen fixation zone
   1 | TO:0020107 | plant cell length
   1 | TO:0020096 | mineral and ion transportation
   1 | TO:0012011 | leaf senescence rate
   1 | TO:0012004 | quantum yield
   1 | TO:0006017 | meristem identity
   1 | TO:0005006 | glyphosate sensitivity
   1 | TO:0005003 | stearic acid content
   1 | TO:0005002 | oleic acid content
   1 | TO:0002687 | cell elongation trait
   1 | TO:0002639 | shoot branching
   1 | TO:0002616 | photoperiod-sensitive flowering time trait
   1 | TO:0001143 | antioxidant activity trait
   1 | TO:0001035 | stem width
   1 | TO:0001015 | photosynthetic rate
   1 | TO:0000992 | gibberellin biosynthesis trait
   1 | TO:0000968 | Hilum color
   1 | TO:0000968 | hilum color
   1 | TO:0000967 | hilum morphology trait
   1 | TO:0000933 | days to maturity
   1 | TO:0000888 | seed coat luster
   1 | TO:0000870 | leaf yeild trait
   1 | TO:0000766 | petiole length
   1 | TO:0000653 | seed growth and development trait
   1 | TO:0000648 | relative phosphorus uptake
   1 | TO:0000634 | Stem node number
   1 | TO:0000627 | relative phosphorus utilization efficiency
   1 | TO:0000620 | plant embryo development trait
   1 | TO:0000615 | abscisic acid sensitivity
   1 | TO:0000604 | fat & essential oil content
   1 | TO:0000540 | leaf area trait
   1 | TO:0000513 | postassium ion concentration
   1 | TO:0000499 | Flowering morphology trait
   1 | TO:0000491 | fat and essential oil composition related trait
   1 | TO:0000391 | seed size
   1 | TO:0000371 | yield trait
   1 | TO:0000370 | leaf width
   1 | TO:0000344 | days to flowering trait
   1 | TO:0000326 | leaf color
   1 | TO:0000303 | low temperature stress response
   1 | TO:0000290 | flavonoid content
   1 | TO:0000164 | plant stress response trait
   1 | TO:0000148 | viral disease response trait
   1 | TO:0000148 | viral disease resistance
   1 | TO:0000145 | shoot axis internode length
   1 | TO:0000114 | flooding related trait
   1 | TO:0000095 | osmotic response sensitivity
   1 | TO:0000056 | stem color
   1 | PO:0009010 | seed
   1 | PO:0007057 | seed germination stage
   1 | PECO:0007200 | short day length exposure
   1 | OMIT:0025284 | herbicide resistance
   1 | NCIT:C116211 | Gamma Tocopherol Measurement
   1 | NCIT:C103349 | Alpha Tocopherol Measurement
   1 | NCBITaxon:12222 | soybean mosaic virus
   1 | GO:1904966 | Positive regulation of vitamin E biosynthetic process
   1 | GO:1902184 | negative regulation of shoot apical meristem development
   1 | GO:1901696 | cannabinoid biosynthetic process
   1 | GO:0140359 | ABC-type transporter activity
   1 | GO:0140315 | iron ion sequestering activity
   1 | GO:0098539 | cytoplasmic side of transport vesicle membrane
   1 | GO:0080144 | intracellular amino acid homeostasis
   1 | GO:0072659 | protein localization to plasma membrane
   1 | GO:0071483 | cellular response to blue light
   1 | GO:0070704 | sterol desaturase activity
   1 | GO:0055062 | phosphate ion homeostasis
   1 | GO:0050832 | defence response to fungus
   1 | GO:0048579 | negative regulation of long-day photoperiodism, flowering
   1 | GO:0048574 | long-day photoperiodism, flowering
   1 | GO:0048573 | photoperiodism, flowering
   1 | GO:0048367 | shoot system development
   1 | GO:0048193 | Golgi vesicle transport
   1 | GO:0046872 | C2H2 and C2HC zinc fingers superfamily protein
   1 | GO:0046322 | negative regulation of fatty acid oxidation
   1 | GO:0045490 | pectin catabolic process
   1 | GO:0042753 | positive regulation of circadian rhythm
   1 | GO:0042545 | cell wall modification
   1 | GO:0035976 | transcription factor AP-1 complex
   1 | GO:0035299 | inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity
   1 | GO:0035195 | miRNA-mediated post-transcriptional gene silencing
   1 | GO:0033769 | glyceollin synthase activity
   1 | GO:0033517 | myo-inositol hexakisphosphate metabolic process
   1 | GO:0033332 | ent-kaurene biosynthetic process
   1 | GO:0031537 | Regulation of anthocyanin metabolic process
   1 | GO:0019433 | triglyceride catabolic process
   1 | GO:0019222 | regulation of metabolic process
   1 | GO:0016491 | oxidoreductase activity
   1 | GO:0016491 | 3-chloroallyl aldehyde dehydrogenase activity
   1 | GO:0016138 | glycoside biosynthetic process
   1 | GO:0016051 | carbohydrate biosynthetic process
   1 | GO:0015562 | efflux transmembrane transporter activity
   1 | GO:0010468 | regulation of gene expression
   1 | GO:0010354 | homogentisate prenyltransferase activity
   1 | GO:0010262 | somatic embryogenesis
   1 | GO:0010082 | regulation of root meristem growth
   1 | GO:0010030 | positive regulation of seed germination
   1 | GO:0009863 | salicylic acid mediated signaling pathway
   1 | GO:0009845 | seed germination
   1 | GO:0009738 | abscisic acid-activated signaling pathway
   1 | GO:0009685 | gibberellin metabolic process
   1 | GO:0009058 | biosynthetic process
   1 | GO:0008168 | Methyltransferase activity
   1 | GO:000815 | Metabolic process
   1 | GO:0008134 | Transcription factor binding
   1 | GO:0008134 | transcription factor binding
   1 | GO:0007275 | multicellular organism development
   1 | GO:0006886 | intracellular protein transport
   1 | GO:0006641 | triglyceride metabolic process
   1 | GO:0006636 | unsaturated fatty acid biosynthesis process
   1 | GO:0005516 | calmodulin binding
   1 | GO:0005515 | protein binding
   1 | GO:0004028 | 3-chloroallyl aldehyde dehydrogenase activity
   1 | GO:0000496 | positively regulates
   1 | GO:0000036 | acyl carrier activity
   1 | CO_336:0000048 | seed oil content
   1 | CO_336:0000027 | soybean plant height trait
   1 | CO_336:0000000 | soybean flowering time trait
  --------------------------------------------------

